genre_name,playlist_name,spotify_id
mpb,MPB Barzinho - As Melhores,6u67VfC7voYC3PFazJixAK
sleep,Sleep,37i9dQZF1DWZd79rJ6a7lp
folk,Folk Pop,37i9dQZF1DWXJyjYpHunCf
adult standards,The Sound of Adult Standards,0FmeDxPXfsozPAyWv9uFjL
yacht rock,Yacht Rock,37i9dQZF1DXb3m918yXHxA
urbano espanol,Urbano español,3GeR2Qz1JYVNdizXjOQLtY
dance rock,DANCE ROCK,3YBbCi3N10SpYXMCVXMtlo
anime,Anime Now,37i9dQZF1DWT8aqnwgRt92
mexican hip hop,Most Necessary,37i9dQZF1DX2RxBh64BHjQ
brostep,BROSTEP,4e1TfVuPeumCSZoA8KRq48
indie folk,Indie Folk Chill,5tOffZXVBFTMS7mkKQ3tpX
chamber pop,This Is English Chamber Orchestra,37i9dQZF1DZ06evO1w5wfC
british soul,Brit-Blues,37i9dQZF1DWWtGE7PB0aRR
trap triste,trap triste,7mIFJvzejU4pCEaDj5nk9V
disco,Disco,37i9dQZF1DX2H07nGW2AbS
polish hip hop,Polski Hip Hop: Klasyki,37i9dQZF1DX6pGi5vfd9k8
j-rock,J-ROCK,7kwiqkDS6ZD7tujyQKZpgP
metalcore,METALCORE,79QHayucQm6M4wUlUbhQNQ
emo rap,emo rap,6sqOvi0G3u1so6VsdTRwOW
gen z singer-songwriter,The Sound of Gen Z Singer-Songwriter,5nUyv9wyZKjdUW1rk3smTo
folk-pop,Folk Pop,37i9dQZF1DWXJyjYpHunCf
indie soul,Indie Soul Vibes | Retro Soul • Feel Good • New Funk • Retro Pop ,1IJizpx2pKJROAbU4Mqgfn
mexican rock,Rock en Español,37i9dQZF1DWYN0zdqzbEwl
classical,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0
uk hip hop,Grime Classics,37i9dQZF1DX7bxurrN0PHJ
pluggnb,pluggnb 💞,03aQzdP6PIcSg38xyzy0M8
blues rock,Blues Rock,56dbowk1V5ycS5jW7DSvi5
grunge,Grunge Forever,37i9dQZF1DX11ghcIxjcjE
christian music,Christian Music ✝️,14YGydApBed973QAGn4geK
funk metal,Funk Metal,2iCaHrMENM16ud7DZYGnOs
reggaeton flow,MANSIÓN REGGAETÓN,37i9dQZF1DWZjqjZMudx9T
vocal jazz,Vocal Jazz,37i9dQZF1DX2kt7dB63bU1
drift phonk,phonk,37i9dQZF1DWWY64wDtewQt
turkish rock,Turkish Rock 🤘🏻,2rer8yT3MeYvvK7h6sfCt1
alternative hip hop,Alternative Hip-Hop,37i9dQZF1DWTggY0yqBxES
trap boricua,Trap Boricua,37i9dQZF1DX49pAYA86UWp
funk carioca,🔞 FUNK CARIOCA 2023 🔞,7EU0j5RdKN1pugpn5Wha3R
memphis hip hop,Feelin' Myself,37i9dQZF1DX6GwdWRQMQpq
mariachi,Mariachi 2023,37i9dQZF1DX7VikJCuOpfO
melodic metalcore,Melodic Metalcore,75ciKfVfn9K5uFWeuErBTs
pop nacional,Pop nacional remixada,4NiNxTMcQ3ofg1jyltWAGY
trap italiana,TRAP ITALIANA 2017/2018🔥🔥,2oXGE3MysKlNmzfjIhiVbI
salsa,Salsa Classics,37i9dQZF1DX7SeoIaFyTmA
dirty south rap,I Love My Down South Classics,37i9dQZF1DWYok9l1JL7GM
electronica,Electronica,2VzfsoqfLsHtvBhb3tLTT6
pop soul,70s Soul Classics,37i9dQZF1DWULEW2RfoSCi
beatlesque,This Is Petula Clark,37i9dQZF1DZ06evO3LEoOw
british invasion,"British Invasion, Great 60's",5s6lp000mFNCltKqRfV9ay
pagode,Pagode,4Rteq63tJVB1jNpylqiAov
pop reggaeton,"Pop, reggaeton y algo mas!!",1lcfxhFNb9Bgyc0iWwEQmu
dfw rap,Top Dallas Rappers 2023 DFW,3Y2qCzTEyIJnQ1qLQz8fMz
indie poptimism,Indie Pop,37i9dQZF1DWWEcRhUVtL8n
funk,Jazz-Funk,37i9dQZF1DWUb0uBnlJuTi
melancholia,melancholia,37i9dQZF1DX6ApTpuYN5Gl
soundtrack,Soundtrack - Pride and Prejudice,7DuRJ3TTWD7u1GKTSdRRwP
g funk,This Is G Flip,37i9dQZF1DZ06evO2Rn8Do
australian pop,Aussie Pop Classics,37i9dQZF1DWZTlcGPMirK8
rap conscient,Rap conscient ,2lBG5RSO4egHeFWPHEThwE
queens hip hop,"WOMEN of 90s R&B, Soul & Hip-Hop",0IyHIWcPUdM6TolvSWlhMm
worship,worship ,1vkH0b6lGRLoU1BLCyOsxn
hardcore hip hop,Hardcore Hip Hop,2t4LaKaNlIDM0xd4jrizMl
french pop,French Pop Hits 2023,0w3eXw0OEQrBtjXluRQcbv
christian alternative rock,Christian alternative rock,0v7LXpcf0NauSUyycbjzeS
mandopop,Mandopop Hits,37i9dQZF1DXahjk49z40fT
outlaw country,Outlaw Country,6G7ZJuBDKwjCrk9ftdu82D
quiet storm,This Is Quiet Storm,37i9dQZF1DZ06evO1phisr
brazilian gospel,Top Christian & Gospel,37i9dQZF1DXcb6CQIjdqKy
trap queen,Trap queen👅,6urkmK0Sa8XSLhxmihfeqm
bolero,Boleros,37i9dQZF1DX7YVXCfBlE4D
rain,Rain Sounds,37i9dQZF1DX8ymr6UES7vc
rock-and-roll,Rock and Roll,5qNHuEyfs4QHR8NI4oNaxE
orchestral soundtrack,Orchestral Soundtrack From Movies,73FFbKroCM31132AxQz9Dd
cantautor,CANTAUTORATO ITALIANO,0Z9gDiPdujwIA0B2D6m0tg
motown,Motown,37i9dQZF1DWYC7CaxNgoCg
classic soul,Classic Soul,19N6YcAFd1cdoUxf8ygAd3
japanese teen pop,Japanese Teen Pop,59lVXQtn3pYARIymaUNI87
bachata,Bachata Classics,37i9dQZF1DX65py6HnnlE1
progressive rock,Prog Rock Monsters,37i9dQZF1DX0uqkwkR49kK
eurodance,Eurodance 90s 💥 Party Songs,40TWyKngQPFdci1g4RSfrY
